author,length,likes,source,tags,title
    Marilyn Monroe  ,214,148679,life,"attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst","      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”  "
    William W. Purkey  ,56,117504,life,"dance,heaven,hurt,inspirational,life,love,sing","      “You've gotta dance like there's nobody watching,"
    Mae West  ,71,106890,life,"humor,life","      “You only live once, but if you do it right, once is enough.”  "
    Robert Frost  ,87,99393,life,life,      “In three words I can sum up everything I've learned about life: it goes on.”  
    Oscar Wilde  ,85,72954,life,life,"      “To live is the rarest thing in the world. Most people exist, that is all.”  "
    Narcotics Anonymous  ,99,60741,life,"humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein","      “Insanity is doing the same thing, over and over again, but expecting different results.”  "
    Andre Gide  ,92,54904,life,"life,love",      “It is better to be hated for what you are than to be loved for what you are not.”  
    J.K. Rowling  ,65,47176,life,"dreams,life",      “It does not do to dwell on dreams and forget to live.”  
    Albert Einstein  ,141,46902,life,"attributed-no-source,inspirational,life,live,miracle,miracles",      “There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”  
    Mark Twain  ,86,44422,life,"books,contentment,friends,friendship,life","      “Good friends, good books, and a sleepy conscience: this is the ideal life.”  "
    Allen Saunders  ,71,42282,life,"fate,life,misattributed-john-lennon,planning,plans",      “Life is what happens to us while we are making other plans.”  
    douglas adams  ,105,37597,life,"life,navigation","      “I may not have gone where I intended to go, but I think I have ended up where I needed to be.”  "
    Marilyn Monroe  ,1094,31016,life,"attributed-no-source,friends,heartbreak,inspirational,life,love,sisters","      “This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”  "
    Pablo Picasso  ,47,27914,life,"art,imagination,inspirational,life",      “Everything you can imagine is real.”  
    Dr. Seuss  ,79,27057,life,"attributed-no-source,life",      “Sometimes the questions are complicated and the answers are simple.”  
    Dr. Seuss  ,100,25254,life,"comedy,life,yourself","      “Today you are You, that is truer than true. There is no one alive who is Youer than You.”  "
    Woody Allen  ,83,24609,life,"death,fear,humor,life",      “I'm not afraid of death; I just don't want to be there when it happens.”  
    George Bernard Shaw  ,79,24151,life,"inspirational,life,yourself",      “Life isn't about finding yourself. Life is about creating yourself.”  
    Markus Zusak  ,39,23374,life,"beauty,life",      “Sometimes people are beautiful.
    Albert Einstein  ,86,21075,life,"life,simile","      “Life is like riding a bicycle. To keep your balance, you must keep moving.”  "
    Oscar Wilde  ,56,146520,inspirational,"attributed-no-source,be-yourself,honesty,inspirational,misattributed-oscar-wilde",      “Be yourself; everyone else is already taken.”  
    William W. Purkey  ,56,117504,inspirational,"dance,heaven,hurt,inspirational,life,love,sing","      “You've gotta dance like there's nobody watching,"
    Mahatma Gandhi  ,60,105351,inspirational,"action,change,inspirational,philosophy,wish",      “Be the change that you wish to see in the world.”  
    Eleanor Roosevelt  ,67,84534,inspirational,"confidence,inspirational,wisdom",      “No one can make you feel inferior without your consent.”  
    Mahatma Gandhi  ,86,72190,inspirational,"carpe-diem,education,inspirational,learning",      “Live as if you were to die tomorrow. Learn as if you were to live forever.”  
    Martin Luther King Jr.  ,122,71559,inspirational,"darkness,drive-out,hate,inspirational,light,love,peace",      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”  
